level_1,level_2,level_3,level_4,level_5,question
Oatly,Brand Perception,Core Image,Definition,Snapshot,What is Oatly in one clear sentence?
Oatly,Brand Perception,Core Image,Definition,Positioning,How is Oatly most commonly described as a brand?
Oatly,Brand Perception,Core Image,Signals,Recurring,What are the strongest recurring signals in Oatly's core brand image?
Oatly,Associations,Values & Lifestyle,Values,Themes,"Which ideas, values, or lifestyles are most associated with Oatly?"
Oatly,Associations,Audience,Segments,Primary,Which consumer segments are most strongly associated with Oatly?
Oatly,Associations,Positioning,Vs Competitors,Dairy,How is Oatly positioned relative to dairy and other plant-based brands?
Oatly,Tone,Personality,Descriptors,Top Traits,Which personality traits are most frequently attributed to Oatly?
Oatly,Tone,Communication,Voice,Narrative Tone,How is Oatly's communication tone typically described?
Oatly,Tensions,Criticism,Skepticism,Common Claims,What are the most common criticisms or skeptical claims about Oatly?
Oatly,Tensions,Risk,Trust,Perception Risk,What perception risks are most likely to harm trust in Oatly?
Oatly,Choice Drivers,Reasons to Choose,Use Cases,Recommended,In which use-cases is Oatly typically recommended?
Oatly,Choice Drivers,Reasons to Avoid,Use Cases,Not Recommended,In which use-cases is Oatly typically not recommended?
Oatly,Choice Drivers,Trade-offs,Comparison,Vs Dairy,How does AI frame the trade-offs between Oatly and dairy milk?
Oatly,Choice Drivers,Trade-offs,Comparison,Vs Plant-Based,How does AI frame the trade-offs between Oatly and other plant-based alternatives?
