level_1,level_2,level_3,question
Core Brand Image,Definition,,What is Oatly in one clear sentence?
Core Brand Image,Definition,,How is Oatly most commonly described as a brand?
Core Brand Image,Meaning,,What does Oatly stand for in the minds of people and AI systems?
Core Brand Image,Signals,Recurring signals,What are the strongest recurring signals in Oatly's core brand image?
Associations & Positioning,Values & lifestyle,,"Which ideas, values, or lifestyles are most associated with Oatly?"
Associations & Positioning,Positioning,Relative to dairy & plant-based,How is Oatly positioned relative to dairy and other plant-based brands?
Associations & Positioning,Audience,,Which consumer segments are most strongly associated with Oatly?
Associations & Positioning,Emotional / symbolic,,What emotional or symbolic associations appear most often around Oatly?
Tone & Brand Personality,Tone descriptors,,How is Oatly's communication tone typically described?
Tone & Brand Personality,Personality traits,,Which personality traits are most frequently attributed to Oatly?
Tone & Brand Personality,Distinctiveness & polarization,,Where is Oatly's tone seen as distinctive versus polarizing?
Tensions & Criticism,Criticisms / skepticism,,What are the most common criticisms or skeptical claims about Oatly?
Tensions & Criticism,Contradictions,,Which tensions or contradictions appear in how Oatly is described?
Tensions & Criticism,Trust / risk,,What perception risks are most likely to harm trust in Oatly?
Reasons to Choose / Avoid,Reasons to choose,,What are the strongest reasons to choose Oatly?
Reasons to Choose / Avoid,Reasons to avoid,,What are the strongest reasons to avoid Oatly?
Reasons to Choose / Avoid,Use-cases,Recommended,In which use-cases is Oatly typically recommended?
Reasons to Choose / Avoid,Use-cases,Not recommended,In which use-cases is Oatly typically not recommended?
Reasons to Choose / Avoid,Trade-offs,Versus dairy milk,How does AI frame the trade-offs between Oatly and dairy milk?
Reasons to Choose / Avoid,Trade-offs,Versus plant-based alternatives,How does AI frame the trade-offs between Oatly and other plant-based alternatives?
