level_1,level_2,level_3,question
Oatly,Core Brand Image,Definition,What is Oatly in one clear sentence?
Oatly,Core Brand Image,Definition,How is Oatly most commonly described as a brand?
Oatly,Core Brand Image,Signals,What are the strongest recurring signals in Oatly's core brand image?
Oatly,Associations & Positioning,Values & lifestyle,"Which ideas, values, or lifestyles are most associated with Oatly?"
Oatly,Associations & Positioning,Audience,Which consumer segments are most strongly associated with Oatly?
Oatly,Tone & Brand Personality,Tone descriptors,How is Oatly's communication tone typically described?
Oatly,Tone & Brand Personality,Personality traits,Which personality traits are most frequently attributed to Oatly?
Oatly,Tensions & Criticism,Criticisms / skepticism,What are the most common criticisms or skeptical claims about Oatly?
Oatly,Tensions & Criticism,Trust / risk,What perception risks are most likely to harm trust in Oatly?
Oatly,Reasons to Choose / Avoid,Reasons to choose,What are the strongest reasons to choose Oatly?
Oatly,Reasons to Choose / Avoid,Trade-offs,How does AI frame the trade-offs between Oatly and dairy milk?
